full_title,last_name,first_name,role
The Ming Tribute Grain System,Hoshi,Ayao,
Commerce and Society in Sung China,Shiba,Yoshinobu,
Transport in Transition: The Evolution of Traditional Shipping in China,Watson,Andrew,
"Japanese Perspectives on China's Early Modernization: The Self-Strengthening Movement, 1860–1895",Kim,K.,
The Silk Industry in Ch'ing China,Shih,Min-hsiung,
The Pawnshop in China,Yang,Chao-yu,
The Tower of Myriad Mirrors: A Supplement to Journey to the West,Yueh,Tung,
The World around the Chinese Artist: Aspects of Realism in Chinese Painting,Edwards,Richard,
The Concept of Man in Contemporary China,Munro,Donald,
The Chinese Calculus of Deterrence: India and Indochina,Whiting,Allen,
Pan Chao: Foremost Woman Scholar of China,Swann,Nancy Lee,
The Concept of Man in Early China,Munro,Donald,
Exiles at Home: Stories by Ch'en Ying-chen,Miller,Lucien,
"""At Middle Age"": A Learning Guide",Ma,Jing-heng,
"""A Great Wall"": A Learning Guide",Ma,Jing-heng,
"""Strange Friends"": A Learning Guide",Ma,Jing-heng,
"""The Girl in Red"": A Study Guide for the Film",Ling,Vivian,
"""The True Story of Ah Q"": A Learning Guide",Ma,Jing-heng,
"""Under the Bridge"": A Study Guide for the Film",Ling,Vivian,
"The Chinese Economy, 1912–1949",Feuerwerker,Albert,
The Cultural Revolution: 1967 in Review,Oksenberg,Michel,
Two Studies in Chinese Literature,Chi,Li,
Early Communist China: Two Studies,Suleski,Ronald,
"The Chinese Economy, ca. 1870–1911",Feuerwerker,Albert,
"Chinese Paintings in Chinese Publications, 1956–1968: An Annotated Bibliography and Index to the Paintings",Laing,Ellen,
The Treaty Ports and China's Modernization: What Went Wrong?,Murphey,Rhoads,
Two Twelfth-Century Texts on Chinese Painting,Maeda,Robert,
"The Economy of Communist China, 1949–1969",Cheng,Chu-yuan,
Educated Youth and the Cultural Revolution in China,Singer,Martin,
Premodern China: A Bibliographical Introduction,Chang,Chun-shu,
Two Studies on Ming History,Hucker,Charles,
Nineteenth-Century China: Five Imperialist Perspectives,Basu,Dilip,
"Modern China, 1840–1972: An Introduction to Sources and Aids",Nathan,Andrew,
Women in China: Studies in Social Change and Feminism,Young,Marilyn,
An Annotated Bibliography of Chinese Painting Catalogues and Related Texts,Lovell,Hin-cheung,
"China's Allocation of Fixed Capital Investment, 1952–1957",Cheng,Chu-yuan,
"Health, Conflict, and the Chinese Political System",Lampton,David,
Chinese and Japanese Music-Dramas,Crump,James I.,
