institution_name,oclc_symbol,street_address,country_name,opac_url
City of Johannesburg Library and Information Services,A#D,"Beyers Naude Square, Cnr Albertina Sisulu and Fraser str, Johannesburg",South Africa,
Atlanta Technical College,A1A,"1560 Metropolitan Parkway SW, Atlanta, GA",United States,http://www.worldcat.org/wcpa/oclc/903473479?page=frame&url=https%3A%2F%2Fgalileo-itc-primo.hosted.exlibrisgroup.com%2Fprimo-explore%2Fsearch%3Fvid%3DITC%26sortby%3Drank%26lang%3Den_US%26query%3Disbn%2Ccontains%2C9780585336558%26checksum%3D8d18eebdfc846b3a8043a2141342df5e&title=Atlanta+Technical+College&linktype=opac&detail=A1A%3AAtlanta+Technical+College%3AAcademic Library&app=wcapi&id=OCPSB-
Coastal Pines Technical College,A1T,"1701 Carswell Ave., Waycross, GA",United States,http://www.worldcat.org/wcpa/oclc/257229496?page=frame&url=https%3A%2F%2Fgalileo-cptc-primo.hosted.exlibrisgroup.com%2Fprimo-explore%2Fsearch%3Fvid%3DCPTC%26sortby%3Drank%26lang%3Den_US%26query%3Disbn%2Ccontains%2C9780415587594%26checksum%3D30c3dbeae6348e12d87aac62346e4bfd&title=Coastal+Pines+Technical+College&linktype=opac&detail=A1T%3ACoastal+Pines+Technical+College%3AAcademic Library&app=wcapi&id=OCPSB-
Institute of American Indian Arts Library,A4A,"83 Avan Nu Po Rd, Santa Fe, NM",United States,http://www.worldcat.org/wcpa/oclc/1030402038?page=frame&url=http%3A%2F%2Fiaialibrary.worldcat.org%2Fsearch%3Fqt%3Dwc_org_iaialibrary%26q%3Dbn%3A9781938937071%26checksum%3Df782dcd549c073874f506384aca5cd5a&title=Institute+of+American+Indian+Arts+Library&linktype=opac&detail=A4A%3AInstitute+of+American+Indian+Arts+Library%3AAcademic Library&app=wcapi&id=OCPSB-
"Illinois Institute of Art, Chicago",A4C,"350 N Orleans, Library, Chicago, IL",United States,http://www.worldcat.org/wcpa/oclc/470554372?page=frame&url=http%3A%2F%2Flibrary.aii.edu%2Fcgi-bin%2FPwebrecon.cgi%3FBOOL1%3Dany%2Bof%2Bthese%26FLD1%3DISBN%2B%28ISBN%29%26DB%3Dlocal%26CNT%3D25%26SL%3DSubmit%2526LOCA%253DILiC%257C27%26SAB1%3D0939512343%26checksum%3Dbf025adad412af0f363c8f39ff5f31b7&title=Illinois+Institute+of+Art%2C+Chicago&linktype=opac&detail=A4C%3AIllinois+Institute+of+Art%2C+Chicago%3AOther (Corporate or Special Library)&app=wcapi&id=OCPSB-
American University of Sharjah,A7U,"PO Box 26666, Sharjah",United Arab Emirates,http://www.worldcat.org/wcpa/oclc/20619185?page=frame&url=https%3A%2F%2Faus.on.worldcat.org%2Fsearch%3FqueryString%3Dbn%3A0892641436%26checksum%3D864b908829defbdfafa6417b16999509&title=American+University+of+Sharjah&linktype=opac&detail=A7U%3AAmerican+University+of+Sharjah%3AAcademic Library&app=wcapi&id=OCPSB-
Metropolitan College of New York- Main Library,A8C,"60 West Street, 7th Floor, New York, NY",United States,
Arkansas State University Mountain Home,A8M,"1600 South College Street, Mountain Home, AR",United States,http://www.worldcat.org/wcpa/oclc/1030402038?page=frame&url=http%3A%2F%2Flibrary.asumh.edu%2Fvwebv%2Fsearch%3FsearchArg%3D0879305568%26searchCode%3DISBN%26limitTo%3Dnone%26recCount%3D10%26searchType%3D1%26page.search.search.button%3DSearch9781938937071%26checksum%3D46a113b5582777cfe1118954bea2190d&title=Arkansas+State+University+Mountain+Home&linktype=opac&detail=A8M%3AArkansas+State+University+Mountain+Home%3AAcademic Library&app=wcapi&id=OCPSB-
Auburn University.,AAA,"Ralph Brown Draughon Libr, 231 Mell St, Auburn, AL",United States,http://www.worldcat.org/wcpa/oclc/493260870?page=frame&url=http%3A%2F%2Fcatalog.lib.auburn.edu%2Fvufind%2F%26checksum%3D9115b2cc179ae63c55109a13f3149f35&title=Auburn+University.&linktype=opac&detail=AAA%3AAuburn+University.%3AARL Library&app=wcapi&id=OCPSB-
Auburn University at Montgomery,AAM,"AUM Library, PO Box 244023, Montgomery, AL",United States,http://www.worldcat.org/wcpa/oclc/260061129?page=frame&url=http%3A%2F%2Faum.lib.auburn.edu%2Fcgi-bin%2FPwebrecon.cgi%3FBOOL1%3Dany%2Bof%2Bthese%26FLD1%3DISBN%2B%28ISBN%29%26DB%3Dlocal%26CNT%3D25%26SAB1%3D9780892641499%26checksum%3D2bdf49ba7370d60fa1d12addd2fb7db8&title=Auburn+University+at+Montgomery&linktype=opac&detail=AAM%3AAuburn+University+at+Montgomery%3AAcademic Library&app=wcapi&id=OCPSB-
