title,prefix,subtitle,full_title,key_note,description,pages,volume,publisher,series
Ming Tribute Grain System,The,,The Ming Tribute Grain System,,"<p class=""Toreview"">Dr. Hoshi's detailed reconstruction of the Ming tribute grain system offers ideas and materials of relevance to several different fields of investigation. To the historian of political institutions it provides a case-study of the workings of a specific branch of the imperial Chinese administration from the highest to the lowest levels over a period of three hundred years. To the economic historian it offers a mine of information on the nature and scale of Chinese and waterway transportation, both as regards the techniques of transport and the flow of goods. To the comparativist seeking insight into the reasons for China's failure to expand overseas in the manner of early modern Europe it gives a new perspective on the withdrawal of the Ming government from the sea: the perfection of inland waterway transport made it necessary to maintain a strong naval capacity to provide and protect the shipping that carried northwards the Court's supplies of grain. To the military historian it reveals something of the foundations of that extraordinary logistical capability that helped to keep the Chinese empire together and to prevent the fragmentation and erosion that befell Western Europe and Byzantium respectively. Such, however, is the careful objectivity of the work that, for the most part, the reader is left to ask his own questions and draw his own conclusions. [ii]</p>",112,1,UM Center for Chinese Studies,Michigan Abstracts of Chinese and Japanese Works in Chinese History
Commerce and Society in Sung China,,,Commerce and Society in Sung China,"<p class=""Keynote"">Studies the development of communications and transport in Sung and Yuan times, the formation of a nationwide market and the development of cities and markets during the Sung Dynasty, and the characteristics of commercial capital</p>","<p class=""Toreview"">The full dimensions of the medieval Chinese economic revolution are still almost unknown to economic historians in the Western world, and the manifold problems that it raises for accepted theories of economic development have hardly begun to be systematically considered. Japanese scholars have been the pioneers in opening up this field, and Professor Shiba's <i style=""mso-bidi-font-style: normal"">Commerce and Society in Sung China</i> is among the most recent and most impressive fruits of their labors. For the first time it is possible to be relatively confident, as the result of the author's systematic exploitation of an enormous range of source materials, about the parts played by transport, trade, business organization and urbanization in this revolution. It is hardly necessary to labor the significance of the advance. China's was beyond any reasonable doubt the most developed economy in the medieval world, and the investigation both of the causes that made this possible and of those that subsequently prevented a take-off into sustained growth is among the most pressing tasks waiting to be accomplished before any general theory of economic development, solidly grounded in comparative historical analysis, becomes possible. [iii]</p>",246,2,UM Center for Chinese Studies,Michigan Abstracts of Chinese and Japanese Works in Chinese History
Transport in Transition,,The Evolution of Traditional Shipping in China,Transport in Transition: The Evolution of Traditional Shipping in China,,"<p class=""Toreview"">We cannot hope to gain any real conception of how the Chinese economy worked in the past, or works now, until we have a clearer picture of the circulation of men and commodities. In this circulation, water transport has been and is of crucial importance. It is the purpose of this selection of Japanese articles to throw some light on the evolution of traditional junk shipping during a key transitional phase, 1900-1940, when it was absorbing the influence of various forms of modernization and on the eve of its major organizational transformation under the direction of the Communist Party. [iii]</p> <p class=""Toreview"">Contents: ""The Operation of Chinese Junks,"" by Koizumi Teizo; ""Shipping Brokers in North China,"" by Nakamura Yoshio; ""The Shipping Brokers and Transport Companies of Soochow,"" by Hayashi Tokumura; ""Junk Ownership and Operation in North China,"" by Kosaka Torizo; ""Junk Crews in Soochow,"" by Teshima Masaki and Arai Yoshio; ""Junk Ownership in Soochow,"" by Nagasaka Hajime; glossaries of Chinese and Japanese terms.</p>",112,3,UM Center for Chinese Studies,Michigan Abstracts of Chinese and Japanese Works in Chinese History
Japanese Perspectives on China's Early Modernization,,"The Self-Strengthening Movement, 1860–1895","Japanese Perspectives on China's Early Modernization: The Self-Strengthening Movement, 1860–1895","<p class=""Keynote"">A bibliographical survey of Japanese studies on China's self-strengthening and modernization movements at the close of the nineteenth century</p>","<p class=""Toreview"">During the past two decades historians such as Knight Biggerstaff, Albert Feuerwerker, and John Rawlinson in the United States and Li Kuo-ch'i, Lü Shi-ch'iang, and Wang Frh-min in Tawian have produced valuable studies which deal with various aspects of the self-strengthening movement in late nineteenth-century China. In the same period, not fully known to their colleagues elsewhere, Japanese historians have also produced a considerable number of studies on the same subject. Many of these offer new perspectives and factual reconstructions that all students in the field need to consider. It was with the hope of drawing attention to and analyzing this body of historical literature that the present bibliographical survey was undertaken. [i]</p>",144,4,UM Center for Chinese Studies,Michigan Abstracts of Chinese and Japanese Works in Chinese History
Silk Industry in Ch'ing China,The,,The Silk Industry in Ch'ing China,,"<p class=""Toreview"">This study details background to the development of the silk industry during the Ch'ing period, with attention to business methods in the silk reeling and silk weaving industries, the three southern imperial Ch'ing silkworks, the modernization of silk filatures, and international trade in raw silk and silk textiles. It concludes by analyzing factors inhibiting the growth of the silk industry under the Ch'ing. [ix]</p>",112,5,UM Center for Chinese Studies,Michigan Abstracts of Chinese and Japanese Works in Chinese History
Pawnshop in China,The,,The Pawnshop in China,"<p class=""Keynote"">Translation of Yang's <i style=""mso-bidi-font-style:normal"">Chung-kuo tien-tang yeh</i> (1929), treating the pawnshop in late imperial and Republican times and covering such as aspects as exteriors, interiors, and fixtures, as well as business and management practices</p>","<p class=""Toreview"">The Ch'ing dynasty witnessed a phenomenal rise in the number of pawnshops in China. By the early nineteenth century there were almost 25,000 of them, and pawnbroking yielded a higher rate of return on investment than did land. The Ch'ing also saw this industry in decline, its exponential growth a victim of the Taiping Rebellion and rapidly developing Shansi banks. Yet, in republican times the pawnshop was still common in city and countryside alike. Furthermore, it was to live on after Liberation. But when the People's Bank of China opened Citizens' Petty Loan Offices in the early 1950s in order to furnish workers and peasant with low-interest loans, and when the transformation of private enterprise occurred in 1956, the last of the pawnbrokers, holding out in urban areas such as Shanghai, were forced to close their doors, and the pawnshop ceased to exist on the mainland. Its life had spanned almost fifteen hundred years. On Taiwan, however, the institution survives—there were 750 pawnshops on the island in 1974—as it does in most overseas Chinese communities. [1]</p> <p class=""Toreview"">[Author Bio Pending]</p>",96,6,UM Center for Chinese Studies,Michigan Abstracts of Chinese and Japanese Works in Chinese History
Tower of Myriad Mirrors,The,A Supplement to Journey to the West,The Tower of Myriad Mirrors: A Supplement to Journey to the West,"<p class=""Keynote"">Mixing slapstick and satire, Monkey's enlightenment offers a glimpse into late Ming intellectual history</p>","<p class=""Bkdesc"">China's most outrageous character—the magical Monkey who battles a hundred monsters—returns to the fray in this seventeenth-century sequel to the Buddhist novel <i style=""mso-bidi-font-style: normal"">Journey to the West</i>. In <i style=""mso-bidi-font-style:normal"">The Tower of Myriad Mirrors</i>, he defends his claim to enlightenment against a villain who induces hallucinations that take Monkey into the past, to heaven and hell, and even through a sex change. The villain turns out to be the personification of his own desires, aroused by his penetration of a female adversary's body in Journey to the West.</p> <p class=""Bkdesc"">In <i style=""mso-bidi-font-style:normal"">The Tower of Myriad Mirrors</i>, his only novel, author Tung Yüeh (1620–1686), a monk and Confucian scholar, picks up the slapstick of the original tale and overlays it with Buddhist theory and bitter satire of the Ming government's capitulation to the Manchus. After a nod to <i style=""mso-bidi-font-style:normal"">Journey</i>'s storyteller format, Tung carries Monkey's quest into an evocation of shifting psychological states rarely found in premodern fiction. An important though relatively unknown link in the development of the Chinese novel and window into late Ming intellectual history, <i style=""mso-bidi-font-style:normal"">The Tower of Myriad Mirrors</i> further rewards by being a wonderful read.</p>",150,1,UM Center for Chinese Studies,Michigan Classics in Chinese Studies
World around the Chinese Artist,The,Aspects of Realism in Chinese Painting,The World around the Chinese Artist: Aspects of Realism in Chinese Painting,"<p class=""Keynote"">Traces the relationship between the self and landscape across three masters of Chinese painting</p>","<p class=""Bkdesc""><i style=""mso-bidi-font-style:normal"">The World Around the Chinese Artist </i>explores the special relationship between the self and landscape in Chinese art through studies of painters Hsia Kuei (12th–13th centuries), Shen Chou (15th–16th centuries), and Shih-t'ao (17th–18th centuries). These three painters, each important in his own time and deemed a master by later critics, were all concerned with the subjective in the objective world. In Chinese painting there is no clear desire to separate these two realms; rather, there is a constant, conscious play between the physical reality of the world and the subjective vision of the artist. The artist is continually imitating the world—sometimes more, sometimes less—but he never denies its appearance to the point of total abstraction; nor, in the other extreme, does he claim for the physical world an existence independent of his own involvement.</p>",160,2,UM Center for Chinese Studies,Michigan Classics in Chinese Studies
Concept of Man in Contemporary China,The,,The Concept of Man in Contemporary China,"Considers the connections between politics, education, and distinctly Chinese theories of mind","<p class=""Bkdesc""><i style=""mso-bidi-font-style:normal"">The Concept of Man in Contemporary China</i> claims that the most striking political theories and policies of the contemporary period rest on distinctly Chinese theories of mind. Many of these theories contrast dramatically with long-held Western beliefs, key among them the insistence on the commingling of rational thought, the emotions, and motives. Focusing on the Maoist period (1940s through 1976), Munro reveals convergences between Confucian and Maoist theories of mind, and considers their application in both education and the practice of modern government. </p> <p class=""Bkdesc"">Part of a trilogy exploring how ideas about human nature have shaped practices of social control and education over the course of Chinese history, this volume follows <i style=""mso-bidi-font-style:normal"">The Concept of Man in Early China</i> and precedes <i style=""mso-bidi-font-style: normal"">The Imperial Style of Inquiry in Twentieth-Century China</i>.</p>",272,3,UM Center for Chinese Studies,Michigan Classics in Chinese Studies
Chinese Calculus of Deterrence,The,India and Indochina,The Chinese Calculus of Deterrence: India and Indochina,"<p class=""Keynote"">An international relations classic that reveals the nature of Chinese foreign policy in the late Maoist years</p>","<p class=""Bkdesc""><i style=""mso-bidi-font-style:normal"">The Chinese Calculus of Deterrence</i> presents a framework for anticipating Chinese political-military behavior in the nuclear era. Through analysis and scholarly research, Allen S. Whiting reconstructs China's response to the perceived threat from India in 1962 and Beijing's secret military participation in the Vietnam War from 1964 to 1968. Comparing these with Chinese actions in the Korean War and Sino-Soviet border clashes, Whiting reveals the patterns in Chinese calculations of deterrence and the use of force. </p> <p class=""Bkdesc""><i style=""mso-bidi-font-style:normal"">The Chinese Calculus </i>casts light on policy divisions at the highest levels in Beijing and on Chinese miscalculations in coping with enemy states. It also suggests ways in which other states can affect Chinese perceptions and behavior to reduce the likelihood of conflict. The analysis strips away the mystery surrounding Chinese behavior and reveals it to be not so far removed from that of other governments. </p> <p class=""Bkdesc"">Includes a new foreword that considers recent data and developments in the Taiwan Strait.</p>",336,4,UM Center for Chinese Studies,Michigan Classics in Chinese Studies
