full_title,format_code,isbn13,year_published,bisac_status
The Ming Tribute Grain System,PB,9780892649013,1969,Out of Print
Commerce and Society in Sung China,PB,9780892649020,1969,Active
Transport in Transition: The Evolution of Traditional Shipping in China,PB,9780892649037,1972,Active
"Japanese Perspectives on China's Early Modernization: The Self-Strengthening Movement, 1860–1895",PB,9780892649044,1974,Out of Stock Indefinitely
The Silk Industry in Ch'ing China,PB,9780892649051,1976,Temporarily out of Stock
The Pawnshop in China,PB,9780892649068,1979,Active
The Tower of Myriad Mirrors: A Supplement to Journey to the West,PB,9780892641420,2000,Active
The Tower of Myriad Mirrors: A Supplement to Journey to the West,EB,9780892649099,,Active
The World around the Chinese Artist: Aspects of Realism in Chinese Painting,HC,9780472101306,,Out of Print
The World around the Chinese Artist: Aspects of Realism in Chinese Painting,PB,9780892641437,2000,Active
The Concept of Man in Contemporary China,PB,9780892641444,2000,Active
The Chinese Calculus of Deterrence: India and Indochina,PB,9780892641499,2001,Active
Pan Chao: Foremost Woman Scholar of China,PB,9780892641505,2001,Active
The Concept of Man in Early China,PB,9780892641512,2001,Active
Exiles at Home: Stories by Ch'en Ying-chen,PB,9780892641598,2002,Active
"""At Middle Age"": A Learning Guide",PB,9780892641031,1991,Active
"""A Great Wall"": A Learning Guide",PB,9780892641123,1993,Active
"""Strange Friends"": A Learning Guide",PB,9780892641024,1991,Active
"""The Girl in Red"": A Study Guide for the Film",PB,9780892641161,1994,Out of Stock Indefinitely
"""The True Story of Ah Q"": A Learning Guide",PB,9780892641055,1992,Out of Stock Indefinitely
"""Under the Bridge"": A Study Guide for the Film",PB,9780892641130,1994,Active
"The Chinese Economy, 1912–1949",HC,9780892640010,1981,Out of Print
"The Chinese Economy, 1912–1949",PB,,1968,
The Cultural Revolution: 1967 in Review,HC,9780892640027,1968,Out of Print
Two Studies in Chinese Literature,PB,9780892640034,1968,Active
Early Communist China: Two Studies,PB,9780892640041,1969,Out of Stock Indefinitely
"The Chinese Economy, ca. 1870–1911",HC,9780892640058,1969,Out of Print
"Chinese Paintings in Chinese Publications, 1956–1968: An Annotated Bibliography and Index to the Paintings",HC,9780892641246,1969,Out of Stock Indefinitely
"Chinese Paintings in Chinese Publications, 1956–1968: An Annotated Bibliography and Index to the Paintings",PB,9780892640065,,Out of Print
The Treaty Ports and China's Modernization: What Went Wrong?,HC,9780892640072,1970,Out of Print
Two Twelfth-Century Texts on Chinese Painting,HC,9780892640089,1970,Out of Print
"The Economy of Communist China, 1949–1969",HC,9780892640096,1971,Out of Print
Educated Youth and the Cultural Revolution in China,HC,9780892640102,1971,Out of Print
Premodern China: A Bibliographical Introduction,HC,9780892640119,1971,Out of Print
Two Studies on Ming History,HC,9780892640126,1971,Out of Print
Nineteenth-Century China: Five Imperialist Perspectives,HC,9780892640133,1972,Out of Print
"Modern China, 1840–1972: An Introduction to Sources and Aids",HC,9780892640140,1973,Out of Print
Women in China: Studies in Social Change and Feminism,PB,9780892640157,1973,Active
An Annotated Bibliography of Chinese Painting Catalogues and Related Texts,HC,9780892640164,1973,Out of Print
"China's Allocation of Fixed Capital Investment, 1952–1957",PB,9780892640171,1974,Temporarily out of Stock
"Health, Conflict, and the Chinese Political System",HC,9780892640188,1974,Out of Print
Chinese and Japanese Music-Dramas,HC,9780892640195,1975,Out of Print
Hsin-lun (New Treatise) and Other Writings by Huan T'an (43 B.C.–28 A.D.),HC,9780892640201,1975,Out of Print
Rebellion in Nineteenth-Century China,PB,9780892640218,1975,Active
"Between Two Plenums: China's Intraleadership Conflict, 1959–1962",HC,9780892640225,1975,Out of Print
"""Proletarian Hegemony"" in the Chinese Revolution and the Canton Commune of 1927",HC,9780892640232,1975,Out of Print
"Chinese Communist Materials at the Bureau of Investigation Archives, Taiwan",PB,9780892640249,1976,Out of Print
"Shanghai Old-Style Banks (Ch'ien-chuang), 1800–1935: A Traditional Institution in a Changing Society",HC,9780892640256,1976,Out of Print
The Sian Incident: A Pivotal Point in Modern Chinese History,PB,9780892640263,1976,Out of Print
State and Society in Eighteenth-Century China: The Ch'ing Empire in Its Glory,PB,9780892640270,1976,Active
"Intellectual Ferment for Political Reforms in Taiwan, 1971–1973",PB,9780892640287,1976,Active
Foreign Establishment in China in the Early Twentieth Century,PB,9780892640294,1976,Active
A Translation of Lao-tzu's Tao Te Ching and Wang Pi's Commentary,PB,9780892640300,1977,Out of Print
"Economic Trends in the Republic of China, 1912–1949",HC,9780892640317,1977,Out of Print
Chang Ch'un-ch'iao and Shanghai's January Revolution,HC,9780892640324,1977,Out of Print
Central Documents and Politburo Politics in China,PB,9780892640331,1978,Active
The Ming Dynasty: Its Origins and Evolving Institutions,HC,9780892640348,1978,Out of Print
Double Jeopardy: A Critique of Seven Yüan Courtroom Dramas,HC,9780892640355,1978,Out of Print
Chinese Domestic Politics and Foreign Policy in the 1970s,PB,9780892640362,1979,Out of Stock Indefinitely
"Shanghai, 1925: Urban Nationalism and the Defense of Foreign Privilege",HC,9780892640379,1979,Out of Print
Voices from Afar: Modern Chinese Writers on Oppressed Peoples and Their Literature,PB,9780892640386,1980,Out of Stock Indefinitely
"Mao Zedong's ""Talks at the Yan'an Conference on Literature and Art"": A Translation of the 1943 Text with Commentary",PB,9780892640393,1980,Active
Yuarn Music Dramas: Studies in Prosody and Structure and a Complete Catalogue of Northern Arias in the Dramatic Style,PB,9780892640409,1981,Out of Print
Proclaiming Harmony,PB,9780892640416,1981,Out of Print
A Song for One or Two: Music and the Concept of Art in Early China,PB,9780892640423,1982,Active
The Economic Development of Manchuria: The Rise of a Frontier Economy,PB,9780892640430,1983,Active
A Bibliography of Chinese Language Materials on the People's Communes,PB,9780892640447,1982,Active
"Chinese Social and Economic History from the Song to 1900: Report of the American Delegation to a Sino-American Symposium, Beijing, 26 October–1 November 1980",PB,9780892640454,1982,Out of Print
China's Universities: Post-Mao Enrollment Policies and Their Impact on the Structure of Secondary Education,HC,9780892640508,1984,Out of Print
China's Universities: Post-Mao Enrollment Policies and Their Impact on the Structure of Secondary Education,PB,9780892640461,,Active
Songs from Xanadu: Studies in Mongol Dynasty Song-Poetry (San-ch'ü),PB,9780892640478,1983,Active
"Social Organization in South China, 1911–1949: The Case of Kuan Lineage in K'ai-p'ing County",HC,9780892640515,1984,Out of Stock Indefinitely
"Social Organization in South China, 1911–1949: The Case of Kuan Lineage in K'ai-p'ing County",PB,9780892640485,,Out of Print
"Labor and the Chinese Revolution: Class Strategies and Contradictions of Chinese Communism, 1928–1948",HC,9780892640492,1983,Active
Soviet Studies of Premodern China: Assessments of Recent Scholarship,HC,9780892640522,1984,Active
Soviet Studies of Premodern China: Assessments of Recent Scholarship,PB,9780892640539,,Active
Career Patterns in the Ch'ing Dynasty: The Office of the Governor General,HC,9780892640553,1981,Out of Print
Career Patterns in the Ch'ing Dynasty: The Office of the Governor General,PB,9780892640560,,Out of Print
Individualism and Holism: Studies in Confucian and Taoist Values,HC,9780892640577,1981,Out of Print
Individualism and Holism: Studies in Confucian and Taoist Values,PB,9780892640584,,Active
Educational Reform in Early Twentieth-Century China,HC,9780892640614,1988,Out of Stock Indefinitely
Educational Reform in Early Twentieth-Century China,PB,9780892640621,,Out of Print
"The Red Spears, 1916–1949",HC,9780892640607,1981,Out of Print
"The Red Spears, 1916–1949",PB,9780892640591,,Out of Print
Paths to Power: Elite Mobility in Contemporary China,HC,9780892640638,1988,Active
Paths to Power: Elite Mobility in Contemporary China,PB,9780892640645,,Active
